Url,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst/52138229?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£23,000 - £24,000 per annum",Permanent,full-time,"Whitby , Cheshire"
https://www.reed.co.uk/jobs/data-analyst/52192556?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,£100.00 - £250.00 per day,Contract,full-time,"Guildford , Surrey"
https://www.reed.co.uk/jobs/data-analyst/52214773?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£30,000 - £40,000 per annum",Permanent,full-time,"Romford , Essex"
https://www.reed.co.uk/jobs/data-analyst/52138532?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,"Liverpool , Merseyside"
https://www.reed.co.uk/jobs/data-analyst/52161776?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,"Kemble , Gloucestershire"
https://www.reed.co.uk/jobs/data-analyst/52183966?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,£250.00 - £300.00 per day,Contract,full-time,"Manchester , Lancashire"
https://www.reed.co.uk/jobs/data-analyst/52160383?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,"Leamington Spa , Warwickshire"
https://www.reed.co.uk/jobs/data-analyst/52232586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£28,000 - £35,000 per annum",Permanent,full-time,"Herefordshire , West Midlands (Region)"
https://www.reed.co.uk/jobs/data-analyst/52204586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£40,000 - £45,000 per annum",Permanent,full-time,"London , South East England"
https://www.reed.co.uk/jobs/data-analyst/52101483?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£30,000 - £37,000 per annum",Permanent,full-time,"Birmingham , West Midlands"
https://www.reed.co.uk/jobs/data-analyst/52008558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6,Data Analyst,"£33,000 - £38,000 per annum",Permanent,full-time,"Manchester , Lancashire"
https://www.reed.co.uk/jobs/principal-data-analyst/52140478?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D7,Principal Data Analyst,"£52,330 - £60,718 per annum, inc benefits",Permanent,full-time,"Manchester , Lancashire"
https://www.reed.co.uk/jobs/hr-data-analyst/52043282?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D7,HR Data Analyst,"£27,000 - £33,000 per annum",Contract,full-time,"Leeds , West Yorkshire"
https://www.reed.co.uk/jobs/graduate-data-analyst/52151536?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D7,Graduate Data Analyst,"£35,000 - £40,000 per annum, negotiable, inc benefits, OTE",Permanent,full-time,"London , South East England"
https://www.reed.co.uk/jobs/senior-data-analyst/52247438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D7,Senior Data Analyst,"£40,000 - £50,000 per annum",Permanent,full-time,"London , South East England"
